video_id,Achievement,Benevolence,Conformity,Hedonism,Power,Security,Self_direction,Stimulation,Tradition,Universalism,Face,Humility,Societal_security,Personal_security,Routine,Rules,Caring,Dependability,Concern_for_others
sample_video_001,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
sample_video_002,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1
sample_video_003,2,0,-1,1,1,0,2,1,0,0,1,0,0,0,0,-1,0,0,0
sample_video_004,0,2,0,0,-1,1,0,0,0,2,0,0,1,1,0,0,2,1,2
sample_video_005,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
sample_video_006,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
sample_video_007,-1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sample_video_008,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0
sample_video_009,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,1,0,1
sample_video_010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_video_011,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
sample_video_012,0,2,1,0,0,1,0,0,1,2,0,1,1,1,0,0,2,1,2
sample_video_013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sample_video_014,0,1,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,1,0,1
sample_video_015,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0
sample_video_016,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
sample_video_017,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
sample_video_018,-1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0
sample_video_019,2,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
sample_video_020,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2
